[2026-01-20 05:41:47,631][INFO] copytrade 启动 | poll_interval=60.0s
[2026-01-20 05:45:51,499][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 05:45:51,823][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768905707632
[2026-01-20 05:45:51,823][INFO] no token updates, total=1
[2026-01-20 05:46:52,166][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768905707632
[2026-01-20 05:46:52,495][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 05:46:52,855][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768905707632
[2026-01-20 05:46:52,856][INFO] no token updates, total=1
[2026-01-20 05:47:53,170][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768905707632
[2026-01-20 05:47:53,473][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 05:47:53,800][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768905707632
[2026-01-20 05:47:53,801][INFO] no token updates, total=1
[2026-01-20 05:48:54,131][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768905707632
[2026-01-20 05:48:54,457][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 05:48:54,761][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768905707632
[2026-01-20 05:48:54,761][INFO] no token updates, total=1
[2026-01-20 05:49:55,072][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768905707632
[2026-01-20 05:49:55,387][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 05:49:55,688][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768905707632
[2026-01-20 05:49:55,689][INFO] no token updates, total=1
[2026-01-20 05:50:56,000][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768905707632
[2026-01-20 05:50:56,308][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 05:50:56,633][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768905707632
[2026-01-20 05:50:56,633][INFO] no token updates, total=1
[2026-01-20 05:51:56,940][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768905707632
[2026-01-20 05:51:57,256][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 05:51:57,580][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768905707632
[2026-01-20 05:51:57,581][INFO] no token updates, total=1
[2026-01-20 05:52:57,995][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768905707632
[2026-01-20 05:52:58,291][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 05:52:58,608][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768905707632
[2026-01-20 05:52:58,608][INFO] no token updates, total=1
[2026-01-20 05:53:58,919][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768905707632
[2026-01-20 05:53:59,232][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 05:53:59,521][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768905707632
[2026-01-20 05:53:59,521][INFO] no token updates, total=1
[2026-01-20 05:54:59,836][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768905707632
[2026-01-20 05:55:00,586][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 05:55:00,893][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768905707632
[2026-01-20 05:55:00,893][INFO] no token updates, total=1
[2026-01-20 05:56:01,224][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768905707632
[2026-01-20 05:56:01,566][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 05:56:01,978][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768905707632
[2026-01-20 05:56:01,978][INFO] no token updates, total=1
[2026-01-20 05:57:02,359][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768905707632
[2026-01-20 05:57:02,662][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 05:57:02,957][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768905707632
[2026-01-20 05:57:02,958][INFO] no token updates, total=1
[2026-01-20 05:58:03,269][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768905707632
[2026-01-20 05:58:03,567][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 05:58:03,898][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768905707632
[2026-01-20 05:58:03,898][INFO] no token updates, total=1
[2026-01-20 05:59:04,210][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768905707632
[2026-01-20 05:59:04,509][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 05:59:04,837][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768905707632
[2026-01-20 05:59:04,837][INFO] no token updates, total=1
[2026-01-20 06:00:05,159][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768905707632
[2026-01-20 06:00:05,463][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 06:00:05,807][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768905707632
[2026-01-20 06:00:05,807][INFO] no token updates, total=1
[2026-01-20 06:01:06,120][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768905707632
[2026-01-20 06:01:06,424][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 06:01:06,733][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768905707632
[2026-01-20 06:01:06,733][INFO] no token updates, total=1
[2026-01-20 06:02:07,051][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768905707632
[2026-01-20 06:02:07,355][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 06:02:07,680][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768905707632
[2026-01-20 06:02:07,680][INFO] no token updates, total=1
[2026-01-20 06:03:07,977][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=1 since_ms=1768905707632
[2026-01-20 06:03:08,312][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 06:03:08,625][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:03:08,626][INFO] tokens output updated: /home/trader/polymarket_api/POLYMARKET_MAKER_copytrade_v2/copytrade/tokens_from_copytrade.json (total=2)
[2026-01-20 06:04:08,945][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:04:09,248][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 06:04:09,554][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:04:09,554][INFO] no token updates, total=2
[2026-01-20 06:05:09,858][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:05:10,152][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 06:05:10,502][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:05:10,503][INFO] no token updates, total=2
[2026-01-20 06:06:10,855][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:06:11,181][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 06:06:11,492][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:06:11,492][INFO] no token updates, total=2
[2026-01-20 06:07:11,819][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:07:12,139][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 06:07:12,437][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:07:12,437][INFO] no token updates, total=2
[2026-01-20 06:08:12,751][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:08:13,070][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 06:08:13,357][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:08:13,357][INFO] no token updates, total=2
[2026-01-20 06:09:13,688][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:09:13,989][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 06:09:14,227][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:09:14,227][INFO] no token updates, total=2
[2026-01-20 06:10:14,527][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:10:14,849][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 06:10:15,092][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:10:15,092][INFO] no token updates, total=2
[2026-01-20 06:11:15,424][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:11:15,728][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 06:11:15,971][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:11:15,971][INFO] no token updates, total=2
[2026-01-20 06:12:16,311][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:12:16,633][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 06:12:16,948][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:12:16,948][INFO] no token updates, total=2
[2026-01-20 06:13:17,271][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:13:17,583][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 06:13:17,891][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:13:17,892][INFO] no token updates, total=2
[2026-01-20 06:14:18,202][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:14:18,522][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 06:14:18,832][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:14:18,832][INFO] no token updates, total=2
[2026-01-20 06:15:19,134][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:15:19,457][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 06:15:19,774][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:15:19,774][INFO] no token updates, total=2
[2026-01-20 06:16:20,111][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:16:20,421][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 06:16:20,737][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:16:20,737][INFO] no token updates, total=2
[2026-01-20 06:17:21,039][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:17:21,371][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 06:17:21,685][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:17:21,685][INFO] no token updates, total=2
[2026-01-20 06:18:22,177][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:18:22,471][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 06:18:22,772][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:18:22,772][INFO] no token updates, total=2
[2026-01-20 06:19:23,091][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:19:23,396][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 06:19:23,754][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:19:23,754][INFO] no token updates, total=2
[2026-01-20 06:20:24,068][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:20:24,374][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 06:20:24,698][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:20:24,699][INFO] no token updates, total=2
[2026-01-20 06:21:25,026][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:21:25,315][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 06:21:25,638][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:21:25,638][INFO] no token updates, total=2
[2026-01-20 06:22:25,958][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:22:26,263][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 06:22:26,576][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:22:26,577][INFO] no token updates, total=2
[2026-01-20 06:23:26,877][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:23:27,202][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 06:23:27,525][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:23:27,525][INFO] no token updates, total=2
[2026-01-20 06:24:27,853][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:24:28,155][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 06:24:28,470][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:24:28,470][INFO] no token updates, total=2
[2026-01-20 06:25:28,763][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:25:29,078][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 06:25:29,385][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:25:29,385][INFO] no token updates, total=2
[2026-01-20 06:26:29,691][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:26:30,005][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 06:26:30,319][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:26:30,320][INFO] no token updates, total=2
[2026-01-20 06:27:30,680][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:27:30,990][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 06:27:31,230][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:27:31,230][INFO] no token updates, total=2
[2026-01-20 06:28:31,543][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:28:31,850][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 06:28:32,096][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:28:32,096][INFO] no token updates, total=2
[2026-01-20 06:29:32,422][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:29:32,736][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 06:29:32,991][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:29:32,992][INFO] no token updates, total=2
[2026-01-20 06:30:33,302][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:30:33,599][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 06:30:33,981][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:30:33,981][INFO] no token updates, total=2
[2026-01-20 06:31:34,303][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:31:34,606][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 06:31:34,920][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:31:34,920][INFO] no token updates, total=2
[2026-01-20 06:32:35,228][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:32:35,566][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 06:32:35,884][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:32:35,884][INFO] no token updates, total=2
[2026-01-20 06:33:36,201][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:33:36,501][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 06:33:36,801][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:33:36,801][INFO] no token updates, total=2
[2026-01-20 06:34:37,130][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:34:37,442][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 06:34:37,808][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:34:37,809][INFO] no token updates, total=2
[2026-01-20 06:35:38,128][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:35:38,477][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768905870000
[2026-01-20 06:35:38,795][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768906962000
[2026-01-20 06:35:38,795][INFO] no token updates, total=2
